mesh,component,faces,points,cx,cy,cz,sx,sy,sz,minx,miny,minz,maxx,maxy,maxz
0,56,12,12,-0.002025,0.077995,0.500545,0.016309999999999998,0.12637,0.018829999999999958,-0.01018,0.01481,0.49113,0.00613,0.14118,0.50996
0,57,10,8,-0.521395,0.52431,-0.500405,0.40835000000000005,0.26362,0.06997000000000003,-0.72557,0.3925,-0.53539,-0.31722,0.65612,-0.46542
0,58,10,8,-0.521395,0.52431,0.500035,0.40835000000000005,0.26362,0.06997000000000003,-0.72557,0.3925,0.46505,-0.31722,0.65612,0.53502
0,59,10,8,-0.723285,0.433515,0.29852500000000004,0.004570000000000074,0.07527,0.27567,-0.72557,0.39588,0.16069,-0.721,0.47115,0.43636
0,60,10,8,-0.31950999999999996,0.433515,0.29852500000000004,0.004579999999999973,0.07527,0.27567,-0.3218,0.39588,0.16069,-0.31722,0.47115,0.43636
0,61,10,8,-1.40488,0.36516,-0.500645,0.08033999999999986,0.5654199999999999,0.060889999999999944,-1.44505,0.08245,-0.53109,-1.36471,0.64787,-0.4702
0,62,10,8,-1.40488,0.36516,0.50065,0.08033999999999986,0.5654199999999999,0.06090000000000001,-1.44505,0.08245,0.4702,-1.36471,0.64787,0.5311
0,63,10,8,-0.0012750000000000018,0.36516,-0.500645,0.08035,0.5654199999999999,0.060889999999999944,-0.04145,0.08245,-0.53109,0.0389,0.64787,-0.4702
0,64,10,8,-0.0012750000000000018,0.36516,0.500645,0.08035,0.5654199999999999,0.060889999999999944,-0.04145,0.08245,0.4702,0.0389,0.64787,0.53109
0,65,8,8,-0.5216149999999999,0.537805,0.39722,0.38905,0.23663000000000006,0.06997999999999999,-0.71614,0.41949,0.36223,-0.32709,0.65612,0.43221
0,66,8,8,-0.5214,0.40852,0.30023500000000003,0.3992,0.02193999999999996,0.26943,-0.721,0.39755,0.16552,-0.3218,0.41949,0.43495
1,0,104,54,-0.539215,0.75813,-0.42416,0.97537,0.04308000000000001,0.04374,-1.0269,0.73659,-0.44603,-0.05153,0.77967,-0.40229
1,1,32,18,-0.902985,0.75785,-0.42416,0.08882999999999996,0.06099999999999994,0.061939999999999995,-0.9474,0.72735,-0.45513,-0.85857,0.78835,-0.39319
1,2,32,18,-0.17623,0.75785,-0.42416,0.08951999999999999,0.06099999999999994,0.061939999999999995,-0.22099,0.72735,-0.45513,-0.13147,0.78835,-0.39319
2,0,24,24,-0.044295,0.719145,0.004264999999999991,0.031089999999999996,0.11102999999999996,0.9189499999999999,-0.05984,0.66363,-0.45521,-0.02875,0.77466,0.46374
2,1,24,24,-1.035135,0.719145,0.004264999999999991,0.031090000000000062,0.11102999999999996,0.9189499999999999,-1.05068,0.66363,-0.45521,-1.01959,0.77466,0.46374
